Job Title | Education | age | sex | Online Edu | Edu Match
educ officers,school inspectrs | Degree or equivalent | 37 | Female | Other qualification | 0
Gardeners and grounds(wo)men | Other qualification | 59 | Male | Other qualification | 1
Public serv associate professionals | GCSE grades A*-C or equivalent | 57 | Female | Other qualification | 0
Customer care managers | Degree or equivalent | 63 | Male | Degree or equivalent | 1
Oth good hndlng & storage occup nec | GCSE grades A*-C or equivalent | 30 | Male | Other qualification | 0
Chefs, cooks | Other qualification | 38 | Male | Other qualification | 1
Further educ teaching prfsnals | Degree or equivalent | 41 | Male | Other qualification | 0
Printing machine minders and assist | GCSE grades A*-C or equivalent | 38 | Male | Other qualification | 0
Chefs, cooks | GCE A level or equivalent | 20 | Female | Other qualification | 0
Waiters, waitresses | Higher education | 39 | Female | Other qualification | 0
Kitchen and catering assistants | Other qualification | 19 | Female | GCSE grades A*-C or equivalent | 0
Animal care occupations n.e.c. | GCSE grades A*-C or equivalent | 19 | Female | Other qualification | 0
Chefs, cooks | GCE A level or equivalent | 37 | Male | Other qualification | 0
Electricians, electrical fitters | GCSE grades A*-C or equivalent | 50 | Male | Other qualification | 0
Care assistants and home carers | GCE A level or equivalent | 50 | Female | Other qualification | 0
Motor mechanics, auto engineers | GCSE grades A*-C or equivalent | 17 | Male | Other qualification | 0
Pers training & ind rel mngers | GCE A level or equivalent | 43 | Male | Other qualification | 0
Nurses | Degree or equivalent | 57 | Male | Degree or equivalent | 1
Electricians, electrical fitters | Higher education | 58 | Male | Other qualification | 0
Call centre agents & operators | Degree or equivalent | 56 | Female | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 34 | Female | Other qualification | 0
Cleaners, domestics | Other qualification | 50 | Male | Other qualification | 1
Sales and retail assistants | GCSE grades A*-C or equivalent | 20 | Female | Other qualification | 0
Conservat & environ protection offs | Higher education | 56 | Male | Other qualification | 0
educal assistants | GCSE grades A*-C or equivalent | 54 | Female | Degree or equivalent | 0
Sales and retail assistants | Degree or equivalent | 43 | Male | Other qualification | 0
Chefs, cooks | Higher education | 37 | Female | Other qualification | 0
Managers in construction | Higher education | 39 | Male | Other qualification | 0
Gardeners and grounds(wo)men | Other qualification | 48 | Male | Other qualification | 1
Restaurant and catering managers | Higher education | 19 | Female | Other qualification | 0
Food, drink & tobac process operat | Other qualification | 58 | Female | Other qualification | 1
Nurses | Degree or equivalent | 46 | Male | Degree or equivalent | 1
Butchers, meat cutters | GCE A level or equivalent | 37 | Male | Other qualification | 0
Construction operatives n.e.c. | Other qualification | 58 | Male | Other qualification | 1
Local gov clerical offs & assists | GCSE grades A*-C or equivalent | 49 | Female | Other qualification | 0
Food, drink & tobac process operat | Higher education | 66 | Male | Other qualification | 0
Post wrkr, mail sort, msngr, courir | GCE A level or equivalent | 37 | Male | Other qualification | 0
Veterinary nurses and assistants | GCE A level or equivalent | 30 | Female | Other qualification | 0
Prec instrument makers & repairers | GCSE grades A*-C or equivalent | 32 | Male | Other qualification | 0
Police officers (inspectrs & above) | Degree or equivalent | 51 | Male | Other qualification | 0
Office managers | Degree or equivalent | 50 | Female | Degree or equivalent | 1
Higher educ teaching prfsnals | Degree or equivalent | 54 | Female | Other qualification | 0
Van drivers | Degree or equivalent | 57 | Male | Other qualification | 0
Counter clerks | GCE A level or equivalent | 51 | Female | Other qualification | 0
Construction trades n.e.c. | GCE A level or equivalent | 64 | Male | Other qualification | 0
Care assistants and home carers | GCSE grades A*-C or equivalent | 60 | Female | Other qualification | 0
Nursery nurses | Degree or equivalent | 36 | Female | Other qualification | 0
Library assistants & clerks | Degree or equivalent | 33 | Female | Other qualification | 0
Care assistants and home carers | GCE A level or equivalent | 68 | Female | Other qualification | 0
Care assistants and home carers | GCE A level or equivalent | 54 | Male | Other qualification | 0
Care assistants and home carers | Degree or equivalent | 36 | Male | Other qualification | 0
Bakers, flour confectioners | Other qualification | 55 | Female | Other qualification | 1
Shelf fillers | GCSE grades A*-C or equivalent | 50 | Male | Other qualification | 0
Post wrkr, mail sort, msngr, courir | GCE A level or equivalent | 56 | Male | Other qualification | 0
Retail cashiers/check-out operators | Higher education | 56 | Female | Other qualification | 0
Sales and retail assistants | Higher education | 59 | Male | Other qualification | 0
Retail and wholesale managers | Degree or equivalent | 28 | Female | Degree or equivalent | 1
NCOs and other ranks | GCSE grades A*-C or equivalent | 27 | Male | Other qualification | 0
Marketing and sales managers | Degree or equivalent | 54 | Female | Degree or equivalent | 1
Chartrd surveyors (not qntity surv) | Degree or equivalent | 26 | Male | Other qualification | 0
Housing and welfare officers | Degree or equivalent | 57 | Female | Degree or equivalent | 1
Kitchen and catering assistants | GCE A level or equivalent | 63 | Female | GCSE grades A*-C or equivalent | 0
Retail and wholesale managers | GCSE grades A*-C or equivalent | 54 | Male | Degree or equivalent | 0
Vocatn & indust trainrs & instrctrs | GCE A level or equivalent | 22 | Female | Other qualification | 0
Kitchen and catering assistants | GCE A level or equivalent | 19 | Female | GCSE grades A*-C or equivalent | 0
Retail cashiers/check-out operators | Other qualification | 62 | Female | Other qualification | 1
Bio scientists and biochemists | Degree or equivalent | 38 | Female | Other qualification | 0
Waiters, waitresses | Other qualification | 36 | Female | Other qualification | 1
Vehicle body builders and repairers | Other qualification | 37 | Male | Other qualification | 1
Financial and accounting techs | GCE A level or equivalent | 45 | Female | Other qualification | 0
Chartrd surveyors (not qntity surv) | Degree or equivalent | 50 | Female | Other qualification | 0
Prod. works & maintenance managers | Degree or equivalent | 41 | Female | Other qualification | 0
Oth good hndlng & storage occup nec | GCSE grades A*-C or equivalent | 20 | Female | Other qualification | 0
Fishng & agric reltd occupatns nec. | GCE A level or equivalent | 25 | Male | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 64 | Female | Other qualification | 0
Managers in construction | Higher education | 38 | Male | Other qualification | 0
Tool mkrs, tool fters & markers-out | GCE A level or equivalent | 41 | Male | Other qualification | 0
Chiropodists | Higher education | 65 | Female | GCSE grades A*-C or equivalent | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 46 | Female | Other qualification | 0
NCOs and other ranks | GCE A level or equivalent | 25 | Female | Other qualification | 0
Nursing auxiliaries and assistants | Other qualification | 28 | Male | Other qualification | 1
Cleaners, domestics | Other qualification | 60 | Male | Other qualification | 1
Local gov clerical offs & assists | Degree or equivalent | 49 | Female | Other qualification | 0
Metal working machine operatives | GCE A level or equivalent | 51 | Male | Other qualification | 0
Lines repairers and cable jointers | GCE A level or equivalent | 47 | Male | Other qualification | 0
educal assistants | Other qualification | 19 | Male | Degree or equivalent | 0
Care assistants and home carers | Higher education | 62 | Female | Other qualification | 0
Medical practitioners | Degree or equivalent | 62 | Male | Other qualification | 0
Pers training & ind rel mngers | GCSE grades A*-C or equivalent | 61 | Female | Other qualification | 0
Receptionists | GCSE grades A*-C or equivalent | 60 | Female | Other qualification | 0
Care assistants and home carers | GCSE grades A*-C or equivalent | 48 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 25 | Female | Other qualification | 0
Fork-lift truck drivers | Other qualification | 35 | Male | Other qualification | 1
School crossing patrol attendants | Higher education | 33 | Female | Other qualification | 0
Prod. works & maintenance managers | Other qualification | 30 | Male | Other qualification | 1
Carpenters and joiners | Other qualification | 40 | Male | Other qualification | 1
Refuse and salvage occupations | Other qualification | 60 | Male | Other qualification | 1
Prod. works & maintenance managers | GCE A level or equivalent | 45 | Female | Other qualification | 0
Mngers and prop. In other srvcs NEC | Higher education | 21 | Male | Other qualification | 0
Labrs process & plant opertns nec. | GCE A level or equivalent | 19 | Female | Other qualification | 0
Communication operators | GCE A level or equivalent | 47 | Female | GCSE grades A*-C or equivalent | 0
Carpenters and joiners | Degree or equivalent | 50 | Male | Other qualification | 0
General office assistants or clerks | Degree or equivalent | 23 | Female | GCSE grades A*-C or equivalent | 0
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | 21 | Female | Other qualification | 0
Heavy goods vehicle drivers | GCE A level or equivalent | 61 | Male | Other qualification | 0
Local gov clerical offs & assists | GCE A level or equivalent | 62 | Female | Other qualification | 0
Pharmaceutical dispensers | Other qualification | 49 | Female | Degree or equivalent | 0
Office managers | GCSE grades A*-C or equivalent | 64 | Female | Degree or equivalent | 0
educal assistants | Degree or equivalent | 54 | Female | Degree or equivalent | 1
Social workers | Degree or equivalent | 53 | Female | Degree or equivalent | 1
Architects | Degree or equivalent | 54 | Male | Degree or equivalent | 1
Kitchen and catering assistants | GCSE grades A*-C or equivalent | 25 | Female | GCSE grades A*-C or equivalent | 1
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | 48 | Female | Other qualification | 0
General office assistants or clerks | GCE A level or equivalent | 19 | Female | GCSE grades A*-C or equivalent | 0
Car. advis & voction guidnce spcils | GCE A level or equivalent | 43 | Female | Other qualification | 0
Buyers and purchasing officers | GCE A level or equivalent | 20 | Female | Other qualification | 0
Retail and wholesale managers | Other qualification | 28 | Female | Degree or equivalent | 0
Nurses | Degree or equivalent | 49 | Female | Degree or equivalent | 1
Elec & electronic engineer n.e.c. | GCE A level or equivalent | 37 | Male | Other qualification | 0
General office assistants or clerks | GCE A level or equivalent | 26 | Female | GCSE grades A*-C or equivalent | 0
Mngmnt cons, actuar, econs & statn | Degree or equivalent | 37 | Male | Other qualification | 0
School mid-day assistants | GCE A level or equivalent | 36 | Female | Other qualification | 0
Cleaners, domestics | GCE A level or equivalent | 45 | Female | Other qualification | 0
Prod. works & maintenance managers | GCE A level or equivalent | 42 | Female | Other qualification | 0
Call centre agents & operators | GCE A level or equivalent | 22 | Male | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 46 | Female | Other qualification | 0
Packers, bottlers, canners, fillers | Higher education | 51 | Female | Other qualification | 0
Carpenters and joiners | GCSE grades A*-C or equivalent | 19 | Male | Other qualification | 0
Cleaners, domestics | GCSE grades A*-C or equivalent | 54 | Female | Other qualification | 0
Carpenters and joiners | Degree or equivalent | 27 | Male | Other qualification | 0
General office assistants or clerks | Degree or equivalent | 51 | Male | GCSE grades A*-C or equivalent | 0
Electricians, electrical fitters | Degree or equivalent | 24 | Male | Other qualification | 0
Retail and wholesale managers | GCE A level or equivalent | 31 | Female | Degree or equivalent | 0
Kitchen and catering assistants | GCSE grades A*-C or equivalent | 18 | Female | GCSE grades A*-C or equivalent | 1
Property, housing and land managers | GCSE grades A*-C or equivalent | 55 | Male | Other qualification | 0
Office managers | GCSE grades A*-C or equivalent | 63 | Female | Degree or equivalent | 0
Electricians, electrical fitters | GCE A level or equivalent | 24 | Male | Other qualification | 0
IT user support technicians | Degree or equivalent | 59 | Male | Degree or equivalent | 1
General office assistants or clerks | Higher education | 58 | Female | GCSE grades A*-C or equivalent | 0
Bus and coach drivers | Higher education | 68 | Male | Other qualification | 0
Laboratory technicians | GCE A level or equivalent | 64 | Male | GCSE grades A*-C or equivalent | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 49 | Female | Other qualification | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 31 | Female | GCSE grades A*-C or equivalent | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 33 | Male | GCSE grades A*-C or equivalent | 0
Van drivers | GCSE grades A*-C or equivalent | 55 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 55 | Female | Other qualification | 0
Restaurant and catering managers | GCSE grades A*-C or equivalent | 44 | Female | Other qualification | 0
Roofers, roof tilers and slaters | Other qualification | 55 | Male | Other qualification | 1
Nurses | Degree or equivalent | 35 | Female | Degree or equivalent | 1
Registrs & sen admins ed establish | GCSE grades A*-C or equivalent | 52 | Male | Other qualification | 0
Housing and welfare officers | Degree or equivalent | 65 | Female | Degree or equivalent | 1
Retail cashiers/check-out operators | Other qualification | 66 | Female | Other qualification | 1
Vocatn & indust trainrs & instrctrs | GCE A level or equivalent | 38 | Female | Other qualification | 0
Marketing and sales managers | GCE A level or equivalent | 28 | Female | Degree or equivalent | 0
Mtl working prod & maintnce fitter | GCSE grades A*-C or equivalent | 30 | Male | Other qualification | 0
General office assistants or clerks | Degree or equivalent | 47 | Female | GCSE grades A*-C or equivalent | 0
Care assistants and home carers | GCE A level or equivalent | 20 | Female | Other qualification | 0
Pharmacists & pharmacologists | Degree or equivalent | 23 | Female | Other qualification | 0
Cleaners, domestics | Degree or equivalent | 50 | Female | Other qualification | 0
NCOs and other ranks | Higher education | 54 | Male | Other qualification | 0
Kitchen and catering assistants | GCE A level or equivalent | 55 | Female | GCSE grades A*-C or equivalent | 0
Vocatn & indust trainrs & instrctrs | GCE A level or equivalent | 35 | Female | Other qualification | 0
IT strategy and planning prfsnals | Degree or equivalent | 38 | Male | Other qualification | 0
Teaching professionals n.e.c. | Degree or equivalent | 41 | Female | Other qualification | 0
Kitchen and catering assistants | GCSE grades A*-C or equivalent | 21 | Female | GCSE grades A*-C or equivalent | 1
Food, drink & tobac process operat | Other qualification | 42 | Female | Other qualification | 1
Fishmongers, poultry dressers | Other qualification | 47 | Male | Other qualification | 1
Kitchen and catering assistants | Other qualification | 58 | Female | GCSE grades A*-C or equivalent | 0
Financial and accounting techs | Degree or equivalent | 36 | Male | Other qualification | 0
Customer care occupations | GCSE grades A*-C or equivalent | 53 | Female | Other qualification | 0
Social workers | Degree or equivalent | 30 | Female | Degree or equivalent | 1
Social workers | Degree or equivalent | 33 | Male | Degree or equivalent | 1
Shelf fillers | GCSE grades A*-C or equivalent | 48 | Male | Other qualification | 0
Social services managers | GCE A level or equivalent | 42 | Female | Other qualification | 0
Construction operatives n.e.c. | GCE A level or equivalent | 42 | Male | Other qualification | 0
Nurses | Higher education | 43 | Female | Degree or equivalent | 0
Officers in armed forces | GCSE grades A*-C or equivalent | 39 | Male | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 28 | Male | Other qualification | 0
Nurses | Degree or equivalent | 28 | Female | Degree or equivalent | 1
Software professionals | Degree or equivalent | 47 | Male | Degree or equivalent | 1
Sales and retail assistants | GCSE grades A*-C or equivalent | 48 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 38 | Female | Other qualification | 0
Managers in construction | GCE A level or equivalent | 39 | Male | Other qualification | 0
Care assistants and home carers | Other qualification | 48 | Female | Other qualification | 1
Marketing and sales managers | Other qualification | 51 | Male | Degree or equivalent | 0
Engineering technicians | Degree or equivalent | 52 | Male | GCSE grades A*-C or equivalent | 0
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | 38 | Female | Other qualification | 0
Stock control clerks | Other qualification | 43 | Male | Other qualification | 1
Business & related assoc profs nec. | Degree or equivalent | 31 | Female | Other qualification | 0
Printing machine minders and assist | GCE A level or equivalent | 52 | Female | Other qualification | 0
Post wrkr, mail sort, msngr, courir | Other qualification | 16 | Male | Other qualification | 1
Accnts wages clerk, bookkeeper | GCE A level or equivalent | 53 | Female | Other qualification | 0
Retail and wholesale managers | Higher education | 54 | Male | Degree or equivalent | 0
Waiters, waitresses | GCE A level or equivalent | 24 | Female | Other qualification | 0
Kitchen and catering assistants | GCE A level or equivalent | 22 | Female | GCSE grades A*-C or equivalent | 0
Nursing auxiliaries and assistants | GCE A level or equivalent | 50 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 18 | Female | Other qualification | 0
Waiters, waitresses | GCSE grades A*-C or equivalent | 24 | Female | Other qualification | 0
Post wrkr, mail sort, msngr, courir | Other qualification | 26 | Male | Other qualification | 1
Carpenters and joiners | Other qualification | 45 | Male | Other qualification | 1
Routine inspectors and testers | Other qualification | 41 | Female | Other qualification | 1
Youth and community workers | Degree or equivalent | 48 | Female | Degree or equivalent | 1
Journalists, newsppr & period eds | Degree or equivalent | 63 | Male | Other qualification | 0
Social workers | Degree or equivalent | 43 | Female | Degree or equivalent | 1
Van drivers | GCSE grades A*-C or equivalent | 43 | Male | Other qualification | 0
Sales representatives | GCSE grades A*-C or equivalent | 62 | Female | Other qualification | 0
Electrical engineers | Other qualification | 64 | Male | GCSE grades A*-C or equivalent | 0
Officers in armed forces | Degree or equivalent | 35 | Male | Other qualification | 0
Nurses | Degree or equivalent | 23 | Female | Degree or equivalent | 1
General office assistants or clerks | GCE A level or equivalent | 21 | Male | GCSE grades A*-C or equivalent | 0
Sales and retail assistants | GCE A level or equivalent | 18 | Female | Other qualification | 0
Motor mechanics, auto engineers | Higher education | 47 | Male | Other qualification | 0
Oth good hndlng & storage occup nec | GCE A level or equivalent | 25 | Male | Other qualification | 0
Care assistants and home carers | Degree or equivalent | 39 | Female | Other qualification | 0
Debt, rent and other cash collectrs | Degree or equivalent | 39 | Female | Other qualification | 0
Prod. works & maintenance managers | Other qualification | 39 | Male | Other qualification | 1
Lab oth const trades n.e.c. | GCE A level or equivalent | 57 | Male | Other qualification | 0
Accnts wages clerk, bookkeeper | GCSE grades A*-C or equivalent | 48 | Female | Other qualification | 0
Bio scientists and biochemists | Degree or equivalent | 27 | Female | Other qualification | 0
Chiropodists | Degree or equivalent | 47 | Male | GCSE grades A*-C or equivalent | 0
Nurses | Degree or equivalent | 52 | Female | Degree or equivalent | 1
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | 19 | Male | Other qualification | 0
Post wrkr, mail sort, msngr, courir | GCSE grades A*-C or equivalent | 17 | Male | Other qualification | 0
Labrers build & woodworking trades | GCSE grades A*-C or equivalent | 33 | Male | Other qualification | 0
Care assistants and home carers | GCSE grades A*-C or equivalent | 34 | Female | Other qualification | 0
Assemblers (veh and metal goods) | GCSE grades A*-C or equivalent | 28 | Male | Other qualification | 0
Housing and welfare officers | GCSE grades A*-C or equivalent | 27 | Female | Degree or equivalent | 0
Further educ teaching prfsnals | Degree or equivalent | 60 | Male | Other qualification | 0
Bar staff | GCE A level or equivalent | 55 | Male | Degree or equivalent | 0
Chefs, cooks | Other qualification | 16 | Male | Other qualification | 1
Fire serv off (leading off & below) | GCSE grades A*-C or equivalent | 38 | Male | Other qualification | 0
Waiters, waitresses | GCSE grades A*-C or equivalent | 26 | Female | Other qualification | 0
Kitchen and catering assistants | GCE A level or equivalent | 40 | Female | GCSE grades A*-C or equivalent | 0
Financial managers & chartered secs | GCSE grades A*-C or equivalent | 55 | Female | Degree or equivalent | 0
Farmers | GCE A level or equivalent | 62 | Male | Degree or equivalent | 0
Marketing and sales managers | Degree or equivalent | 38 | Male | Degree or equivalent | 1
Marketing and sales managers | Degree or equivalent | 48 | Male | Degree or equivalent | 1
General office assistants or clerks | Other qualification | 40 | Female | GCSE grades A*-C or equivalent | 0
Hairdressers, barbers | GCE A level or equivalent | 32 | Female | GCSE grades A*-C or equivalent | 0
Van drivers | Degree or equivalent | 53 | Male | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 59 | Female | Other qualification | 0
General office assistants or clerks | GCSE grades A*-C or equivalent | 54 | Female | GCSE grades A*-C or equivalent | 1
Launderers, dry cleaners, pressers | Other qualification | 53 | Male | Other qualification | 1
Nursing auxiliaries and assistants | GCE A level or equivalent | 54 | Female | Other qualification | 0
Cleaners, domestics | GCE A level or equivalent | 19 | Male | Other qualification | 0
Ship and hovercraft officers | Higher education | 48 | Male | Other qualification | 0
educal assistants | Degree or equivalent | 58 | Female | Degree or equivalent | 1
Secondary eductn teaching prfsnals | Degree or equivalent | 57 | Male | GCSE grades A*-C or equivalent | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 31 | Male | Other qualification | 0
Physts, geologists & meteorologists | Degree or equivalent | 35 | Male | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 66 | Female | Other qualification | 0
Post wrkr, mail sort, msngr, courir | GCE A level or equivalent | 62 | Female | Other qualification | 0
Journalists, newsppr & period eds | Degree or equivalent | 34 | Female | Other qualification | 0
Accnts wages clerk, bookkeeper | GCE A level or equivalent | 28 | Male | Other qualification | 0
Solic & lawyers, judges & coroners | Degree or equivalent | 26 | Female | Other qualification | 0
Care assistants and home carers | Degree or equivalent | 61 | Male | Other qualification | 0
Restaurant and catering managers | GCE A level or equivalent | 60 | Female | Other qualification | 0
Pers training & ind rel mngers | Degree or equivalent | 51 | Male | Other qualification | 0
Security guards and rel occupations | GCSE grades A*-C or equivalent | 52 | Female | Other qualification | 0
Nurses | Higher education | 54 | Female | Degree or equivalent | 0
Post wrkr, mail sort, msngr, courir | GCE A level or equivalent | 52 | Male | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 51 | Female | Other qualification | 0
Marketing and sales managers | Degree or equivalent | 46 | Female | Degree or equivalent | 1
