Job Title | Survey | Online
Customer care managers | Degree or equivalent | Degree or equivalent
Oth good hndlng  storage occup nec | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | Other qualification | Other qualification
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Printing machine minders and assist | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | GCE A level or equivalent | Other qualification
Waiters waitresses | Higher education | Other qualification
Kitchen and catering assistants | Other qualification | GCSE grades A*-C or equivalent
Animal care occupations nec | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | GCE A level or equivalent | Other qualification
Electricians electrical fitters | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Motor mechanics auto engineers | GCSE grades A*-C or equivalent | Other qualification
Pers training  ind rel mngers | GCE A level or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Electricians electrical fitters | Higher education | Other qualification
Call centre agents  operators | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Conservat  environ protection offs | Higher education | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Sales and retail assistants | Degree or equivalent | Other qualification
Chefs cooks | Higher education | Other qualification
Managers in construction | Higher education | Other qualification
Gardeners and groundswomen | Other qualification | Other qualification
Restaurant and catering managers | Higher education | Other qualification
Food drink  tobac process operat | Other qualification | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Butchers meat cutters | GCE A level or equivalent | Other qualification
Construction operatives nec | Other qualification | Other qualification
Local gov clerical offs  assists | GCSE grades A*-C or equivalent | Other qualification
Food drink  tobac process operat | Higher education | Other qualification
Post wrkr mail sort msngr courir | GCE A level or equivalent | Other qualification
Veterinary nurses and assistants | GCE A level or equivalent | Other qualification
Prec instrument makers  repairers | GCSE grades A*-C or equivalent | Other qualification
Police officers inspectrs  above | Degree or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Van drivers | Degree or equivalent | Other qualification
Counter clerks | GCE A level or equivalent | Other qualification
Construction trades nec | GCE A level or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Nursery nurses | Degree or equivalent | Other qualification
Library assistants  clerks | Degree or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Bakers flour confectioners | Other qualification | Other qualification
Shelf fillers | GCSE grades A*-C or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCE A level or equivalent | Other qualification
Retail cashierscheckout operators | Higher education | Other qualification
Sales and retail assistants | Higher education | Other qualification
Retail and wholesale managers | Degree or equivalent | Degree or equivalent
NCOs and other ranks | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Chartrd surveyors not qntity surv | Degree or equivalent | Other qualification
Housing and welfare officers | Degree or equivalent | Degree or equivalent
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Retail and wholesale managers | GCSE grades A*-C or equivalent | Degree or equivalent
Vocatn  indust trainrs  instrctrs | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Retail cashierscheckout operators | Other qualification | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Waiters waitresses | Other qualification | Other qualification
Vehicle body builders and repairers | Other qualification | Other qualification
Financial and accounting techs | GCE A level or equivalent | Other qualification
Chartrd surveyors not qntity surv | Degree or equivalent | Other qualification
Prod works  maintenance managers | Degree or equivalent | Other qualification
Oth good hndlng  storage occup nec | GCSE grades A*-C or equivalent | Other qualification
Fishng  agric reltd occupatns nec | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Managers in construction | Higher education | Other qualification
Tool mkrs tool fters  markersout | GCE A level or equivalent | Other qualification
Chiropodists | Higher education | GCSE grades A*-C or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
NCOs and other ranks | GCE A level or equivalent | Other qualification
Nursing auxiliaries and assistants | Other qualification | Other qualification
Cleaners domestics | Other qualification | Other qualification
Local gov clerical offs  assists | Degree or equivalent | Other qualification
Metal working machine operatives | GCE A level or equivalent | Other qualification
Lines repairers and cable jointers | GCE A level or equivalent | Other qualification
educal assistants | Other qualification | Degree or equivalent
Care assistants and home carers | Higher education | Other qualification
Medical practitioners | Degree or equivalent | Other qualification
Pers training  ind rel mngers | GCSE grades A*-C or equivalent | Other qualification
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Forklift truck drivers | Other qualification | Other qualification
School crossing patrol attendants | Higher education | Other qualification
Prod works  maintenance managers | Other qualification | Other qualification
Carpenters and joiners | Other qualification | Other qualification
Refuse and salvage occupations | Other qualification | Other qualification
Prod works  maintenance managers | GCE A level or equivalent | Other qualification
Mngers and prop In other srvcs NEC | Higher education | Other qualification
Labrs process  plant opertns nec | GCE A level or equivalent | Other qualification
Communication operators | GCE A level or equivalent | GCSE grades A*-C or equivalent
Carpenters and joiners | Degree or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Heavy goods vehicle drivers | GCE A level or equivalent | Other qualification
Local gov clerical offs  assists | GCE A level or equivalent | Other qualification
Pharmaceutical dispensers | Other qualification | Degree or equivalent
Office managers | GCSE grades A*-C or equivalent | Degree or equivalent
educal assistants | Degree or equivalent | Degree or equivalent
Social workers | Degree or equivalent | Degree or equivalent
Architects | Degree or equivalent | Degree or equivalent
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Car advis  voction guidnce spcils | GCE A level or equivalent | Other qualification
Buyers and purchasing officers | GCE A level or equivalent | Other qualification
Retail and wholesale managers | Other qualification | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Elec  electronic engineer nec | GCE A level or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
School midday assistants | GCE A level or equivalent | Other qualification
Cleaners domestics | GCE A level or equivalent | Other qualification
Prod works  maintenance managers | GCE A level or equivalent | Other qualification
Call centre agents  operators | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Packers bottlers canners fillers | Higher education | Other qualification
Carpenters and joiners | GCSE grades A*-C or equivalent | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Carpenters and joiners | Degree or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Electricians electrical fitters | Degree or equivalent | Other qualification
Retail and wholesale managers | GCE A level or equivalent | Degree or equivalent
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Property housing and land managers | GCSE grades A*-C or equivalent | Other qualification
Office managers | GCSE grades A*-C or equivalent | Degree or equivalent
Electricians electrical fitters | GCE A level or equivalent | Other qualification
IT user support technicians | Degree or equivalent | Degree or equivalent
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
Bus and coach drivers | Higher education | Other qualification
Laboratory technicians | GCE A level or equivalent | GCSE grades A*-C or equivalent
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Van drivers | GCSE grades A*-C or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Restaurant and catering managers | GCSE grades A*-C or equivalent | Other qualification
Roofers roof tilers and slaters | Other qualification | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Registrs  sen admins ed establish | GCSE grades A*-C or equivalent | Other qualification
Housing and welfare officers | Degree or equivalent | Degree or equivalent
Retail cashierscheckout operators | Other qualification | Other qualification
Vocatn  indust trainrs  instrctrs | GCE A level or equivalent | Other qualification
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Mtl working prod  maintnce fitter | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Pharmacists  pharmacologists | Degree or equivalent | Other qualification
Cleaners domestics | Degree or equivalent | Other qualification
NCOs and other ranks | Higher education | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Vocatn  indust trainrs  instrctrs | GCE A level or equivalent | Other qualification
IT strategy and planning prfsnals | Degree or equivalent | Other qualification
Teaching professionals nec | Degree or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Food drink  tobac process operat | Other qualification | Other qualification
Fishmongers poultry dressers | Other qualification | Other qualification
Kitchen and catering assistants | Other qualification | GCSE grades A*-C or equivalent
Financial and accounting techs | Degree or equivalent | Other qualification
Customer care occupations | GCSE grades A*-C or equivalent | Other qualification
Social workers | Degree or equivalent | Degree or equivalent
Social workers | Degree or equivalent | Degree or equivalent
Shelf fillers | GCSE grades A*-C or equivalent | Other qualification
Social services managers | GCE A level or equivalent | Other qualification
Construction operatives nec | GCE A level or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Officers in armed forces | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Managers in construction | GCE A level or equivalent | Other qualification
Care assistants and home carers | Other qualification | Other qualification
Marketing and sales managers | Other qualification | Degree or equivalent
Engineering technicians | Degree or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Stock control clerks | Other qualification | Other qualification
Business  related assoc profs nec | Degree or equivalent | Other qualification
Printing machine minders and assist | GCE A level or equivalent | Other qualification
Post wrkr mail sort msngr courir | Other qualification | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Retail and wholesale managers | Higher education | Degree or equivalent
Waiters waitresses | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Post wrkr mail sort msngr courir | Other qualification | Other qualification
Carpenters and joiners | Other qualification | Other qualification
Routine inspectors and testers | Other qualification | Other qualification
Youth and community workers | Degree or equivalent | Degree or equivalent
Journalists newsppr  period eds | Degree or equivalent | Other qualification
Social workers | Degree or equivalent | Degree or equivalent
Van drivers | GCSE grades A*-C or equivalent | Other qualification
Sales representatives | GCSE grades A*-C or equivalent | Other qualification
Electrical engineers | Other qualification | GCSE grades A*-C or equivalent
Officers in armed forces | Degree or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Motor mechanics auto engineers | Higher education | Other qualification
Oth good hndlng  storage occup nec | GCE A level or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Debt rent and other cash collectrs | Degree or equivalent | Other qualification
Prod works  maintenance managers | Other qualification | Other qualification
Lab oth const trades nec | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Chiropodists | Degree or equivalent | GCSE grades A*-C or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Labrers build  woodworking trades | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Assemblers veh and metal goods | GCSE grades A*-C or equivalent | Other qualification
Housing and welfare officers | GCSE grades A*-C or equivalent | Degree or equivalent
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Bar staff | GCE A level or equivalent | Degree or equivalent
Chefs cooks | Other qualification | Other qualification
Fire serv off leading off  below | GCSE grades A*-C or equivalent | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Financial managers  chartered secs | GCSE grades A*-C or equivalent | Degree or equivalent
Farmers | GCE A level or equivalent | Degree or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
General office assistants or clerks | Other qualification | GCSE grades A*-C or equivalent
Hairdressers barbers | GCE A level or equivalent | GCSE grades A*-C or equivalent
Van drivers | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Launderers dry cleaners pressers | Other qualification | Other qualification
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Cleaners domestics | GCE A level or equivalent | Other qualification
Ship and hovercraft officers | Higher education | Other qualification
educal assistants | Degree or equivalent | Degree or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Mngers and prop In other srvcs NEC | Degree or equivalent | Other qualification
Physts geologists  meteorologists | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCE A level or equivalent | Other qualification
Journalists newsppr  period eds | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Solic  lawyers judges  coroners | Degree or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Restaurant and catering managers | GCE A level or equivalent | Other qualification
Pers training  ind rel mngers | Degree or equivalent | Other qualification
Security guards and rel occupations | GCSE grades A*-C or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Post wrkr mail sort msngr courir | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Managers in construction | GCSE grades A*-C or equivalent | Other qualification
Prod works  maintenance managers | GCE A level or equivalent | Other qualification
Financial managers  chartered secs | Higher education | Degree or equivalent
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
Van drivers | Higher education | Other qualification
Financial managers  chartered secs | Higher education | Degree or equivalent
Financial managers  chartered secs | Other qualification | Degree or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Painters and decorators | GCE A level or equivalent | Other qualification
General office assistants or clerks | Other qualification | GCSE grades A*-C or equivalent
Sales and retail assistants | Other qualification | Other qualification
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Local gov clerical offs  assists | GCSE grades A*-C or equivalent | Other qualification
Prison serv off below princ off | Other qualification | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Ship and hovercraft officers | Degree or equivalent | Other qualification
Researchers nec | Degree or equivalent | Other qualification
Houseprnts and residential wardens | Degree or equivalent | Other qualification
Plumb hea  ventilating engineers | Higher education | Other qualification
Waiters waitresses | Degree or equivalent | Other qualification
Chefs cooks | GCE A level or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | Higher education | Other qualification
Social workers | Higher education | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Research and development managers | Degree or equivalent | Degree or equivalent
Sales related occupations nec | GCSE grades A*-C or equivalent | Other qualification
Mobile machine drivers  operatives | Other qualification | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Nurses | GCE A level or equivalent | Degree or equivalent
Care assistants and home carers | Higher education | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Lab oth const trades nec | GCSE grades A*-C or equivalent | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Civil Serv admin offcrs and assists | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | GCSE grades A*-C or equivalent | Degree or equivalent
Estimators valuers and assessors | GCE A level or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | Other qualification | Other qualification
Packers bottlers canners fillers | GCSE grades A*-C or equivalent | Other qualification
Retail and wholesale managers | GCE A level or equivalent | Degree or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Care assistants and home carers | Higher education | Other qualification
Design and development engineers | Degree or equivalent | Degree or equivalent
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Forklift truck drivers | Other qualification | Other qualification
Pharmacy managers | Degree or equivalent | Degree or equivalent
Buyers and purchasing officers | Degree or equivalent | Other qualification
Sales representatives | Degree or equivalent | Other qualification
educal assistants | Higher education | Degree or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Van drivers | GCE A level or equivalent | Other qualification
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Hotel and accommodation managers | GCE A level or equivalent | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Construction trades nec | GCSE grades A*-C or equivalent | Other qualification
Estimators valuers and assessors | GCSE grades A*-C or equivalent | Other qualification
Gardeners and groundswomen | Other qualification | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Countryside and park rangers | Degree or equivalent | Other qualification
Natural environ  cons managers | Degree or equivalent | Other qualification
Social workers | Degree or equivalent | Degree or equivalent
Police offcrs sergeant and below | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Nurses | GCE A level or equivalent | Degree or equivalent
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Marketing associate professionals | GCE A level or equivalent | Degree or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Vocatn  indust trainrs  instrctrs | GCE A level or equivalent | Other qualification
IT strategy and planning prfsnals | GCE A level or equivalent | Other qualification
Security guards and rel occupations | GCSE grades A*-C or equivalent | Other qualification
Nurses | Other qualification | Degree or equivalent
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Mtl working prod  maintnce fitter | GCSE grades A*-C or equivalent | Other qualification
Spec needs educ teaching profs | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | Other qualification | Other qualification
Plumb hea  ventilating engineers | GCE A level or equivalent | Other qualification
Refuse and salvage occupations | GCE A level or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Refuse and salvage occupations | GCE A level or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Chefs cooks | Higher education | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Metal working machine operatives | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Counter clerks | GCSE grades A*-C or equivalent | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Prod works  maintenance managers | Higher education | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Marketing and sales managers | Other qualification | Degree or equivalent
Cleaners domestics | Other qualification | Other qualification
Fin  invest analyst  advisers | GCE A level or equivalent | Other qualification
Road sweepers | GCE A level or equivalent | Other qualification
Floorers and wall tilers | GCE A level or equivalent | Other qualification
Police officers inspectrs  above | Degree or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Leisure and theme park attendants | GCSE grades A*-C or equivalent | Other qualification
educal assistants | Degree or equivalent | Degree or equivalent
Police offcrs sergeant and below | Higher education | Other qualification
Market research interviewers | GCE A level or equivalent | Other qualification
Routine inspectors and testers | GCE A level or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Plumb hea  ventilating engineers | GCE A level or equivalent | Other qualification
Packers bottlers canners fillers | GCSE grades A*-C or equivalent | Other qualification
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Communication operators | Degree or equivalent | GCSE grades A*-C or equivalent
Info  communication technol mngers | Higher education | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Housekprs and related occupations | Other qualification | Other qualification
Bus and coach drivers | Other qualification | Other qualification
Routine inspectors and testers | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Teaching professionals nec | GCSE grades A*-C or equivalent | Other qualification
Filng  othr recrds assists  clrks | Degree or equivalent | Other qualification
Customer care managers | Degree or equivalent | Degree or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
